# INTERNAL_OJS vocabulary — 6 May-2008 packages (2008085-2008105), issue 41 sweep
# element<TAB>count<TAB>packages_seen(of 6)<TAB>attrs
#PACKAGES 6
#HEADINGS 2110:961 2210:912 2280:910 2180:846 8098:642 1110:388 1180:380 2580:256 2220:249 2540:159 2510:138 2100:123 2240:109 2120:101 1120:68 1100:64 2200:57 0708:51 22D0:34 25F0:32 C398:31 3210:28 25C0:26 2140:25 22E0:21 2230:20 2520:19 3380:19 3310:18 1160:16 2130:15 1140:15 3280:13 22M0:12 PARL:12 3340:11 3110:10 0788:8 2250:8 9008:7 5008:6 21Y0:6 11M0:6 C298:6 0808:6 3180:6 3540:5 4280:4 3220:4 1130:4 21M0:3 CONS:3 4310:3 4008:3 3140:3 2150:2 4380:2 3580:2 25E0:2 3320:2 22Y0:1 3510:1 3350:1 3300:1 3200:1 4180:1 4320:1 25B0:1 1150:1 4520:1 33M0:1 33D0:1 3120:1 21B0:1 02A0:1
FD_CONTRACT	469	6	CTYPE
FD_CONTRACT_AWARD	291	6	CTYPE
FD_CONTRACT_AWARD_SUM	1890	6	CTYPE
FD_CONTRACT_AWARD_UTILITIES	24	5	
FD_CONTRACT_AWARD_UTILITIES_SUM	234	6	
FD_CONTRACT_SUM	2519	6	CTYPE
FD_CONTRACT_UTILITIES	43	6	CTYPE
FD_CONTRACT_UTILITIES_SUM	280	6	CTYPE
FD_DESIGN_CONTEST	4	3	
FD_DESIGN_CONTEST_SUM	31	6	
FD_EEIG	1	1	
FD_OTH_NOT	774	6	
FD_PERIODIC_INDICATIVE_UTILITIES	5	4	CTYPE
FD_PERIODIC_INDICATIVE_UTILITIES_SUM	27	6	CTYPE
FD_PRIOR_INFORMATION	29	6	CTYPE
FD_PRIOR_INFORMATION_SUM	217	6	CTYPE
FD_QUALIFICATION_SYSTEM_UTILITIES	3	2	
FD_QUALIFICATION_SYSTEM_UTILITIES_SUM	23	5	
FD_RESULT_DESIGN_CONTEST_SUM	23	6	
FD_SIMPLIFIED_CONTRACT	1	1	
FD_SIMPLIFIED_CONTRACT_SUM	1	1	
FILE_REFERENCE_NUMBER	486	6	
FINANCIAL_CAPACITY	3	3	
FOLLOW_UP_CONTRACTS	4	3	
FOR	384	6	
FOR_READ	384	6	
FRAMEWORK_AGREEMENT	5	2	VALUE
FREQUENCY_AWARDED_CONTRACTS	5	3	
FT	695	6	TYPE
FURTHER_INFORMATION	3556	6	
GROUP_NAME	1	1	
GR_SEQ	575	6	
HIGH_VALUE	292	6	
IDEM	6549	6	
INCLUDING_VAT	2410	6	
INFORMATION_REGULATORY_FRAMEWORK	5	2	
INFORMATION_VALUE_CONTRACT	314	6	
INFO_ON_DEADLINE	1	1	
INITIAL_ESTIMATED_TOTAL_VALUE_CONTRACT	2207	6	CURRENCY
INTERNAL_OJS	6907	6	HEADING
INTERNET_ADDRESSES_BUYER_PROFILE	2	2	
INTERNET_ADDRESSES_CONCESSION	12	6	
INTERNET_ADDRESSES_CONTRACT	2298	6	
INTERNET_ADDRESSES_CONTRACT_AWARD	1530	6	
INTERNET_ADDRESSES_CONTRACT_AWARD_UTILITIES	191	6	
INTERNET_ADDRESSES_CONTRACT_UTILITIES	224	6	
INTERNET_ADDRESSES_DESIGN_CONTEST	30	5	
INTERNET_ADDRESSES_PERIODIC_INDICATIVE_UTILITIES	26	6	
INTERNET_ADDRESSES_PRIOR_INFORMATION	179	6	
